jurisdiction,date,forecast,ci_80_lower,ci_80_upper,ci_95_lower,ci_95_upper,is_post_reform
California,2024-01-01,4685.300625088044,3356.5260816933855,6014.075168482703,2653.1153282596197,6717.485921916469,1
California,2024-02-01,4822.444720176144,2965.4294256922494,6679.460014660039,1982.384910033602,7662.504530318686,1
California,2024-03-01,5236.1595471063,2988.3888999114783,7483.930194301121,1798.4909955985945,8673.828098614005,1
California,2024-04-01,5408.5895322667875,2843.1964022937755,7973.9826622397995,1485.1593121204105,9332.019752413165,1
California,2024-05-01,5484.810301380869,2649.6139472949453,8320.006655466792,1148.7516576958906,9820.868945065846,1
California,2024-06-01,5349.6194392675125,2279.257499791393,8419.981378743632,653.9060691086961,10045.332809426329,1
California,2024-07-01,5101.384116070662,1822.5433470310804,8380.224885110243,86.82989044473925,10115.938341696583,1
California,2024-08-01,5196.503517335155,1730.6105698535039,8662.396464816808,-104.12232868664432,10497.129363356955,1
California,2024-09-01,5129.899675741835,1494.6715889161596,8765.12776256751,-429.70191761192746,10689.5012690956,1
California,2024-10-01,5133.042752459509,1343.4546814421487,8922.63082347687,-662.6320647924331,10928.71756971145,1
California,2024-11-01,5439.096580047433,1508.0228803901587,9370.170279704707,-572.9618334013576,11451.154993496224,1
California,2024-12-01,5330.537374889482,1269.1964165537315,9391.878333225231,-880.7476184637044,11541.822368242669,1
Texas,2024-01-01,6561.852039247871,5065.774146436135,8057.929932059607,4273.7983496317975,8849.905728863945,1
Texas,2024-02-01,6535.828172096708,4463.235143901735,8608.421200291681,3366.0706694832998,9705.585674710117,1
Texas,2024-03-01,7121.528711101269,4679.583225423014,9563.474196779525,3386.895370689664,10856.162051512874,1
Texas,2024-04-01,7204.7934731148,4451.041141109461,9958.545805120139,2993.2927124879225,11416.294233741677,1
Texas,2024-05-01,6958.187148068091,3932.108525395328,9984.265770740854,2330.1992665935104,11586.175029542672,1
Texas,2024-06-01,7083.2485142064525,3814.241518319328,10352.255510093577,2083.733746788176,12082.763281624728,1
Texas,2024-07-01,6717.661899834873,3228.7955188396995,10206.528280830047,1381.9012192123328,12053.422580457413,1
Texas,2024-08-01,6673.172953565607,2983.2226396071246,10363.12326752409,1029.8809358717644,12316.46497125945,1
Texas,2024-09-01,6679.559168219388,2804.221566720737,10554.89676971804,752.7417610373013,12606.376575401475,1
Texas,2024-10-01,6595.871662810912,2548.5417020812224,10643.201623540603,406.0146411708156,12785.728684451009,1
Texas,2024-11-01,6720.295842226211,2512.5908167618772,10928.000867690545,285.1663248480236,13155.425359604398,1
Texas,2024-12-01,6825.060295807523,2467.1883355449145,11182.932256070133,160.2702701935077,13489.850321421538,1
Virginia,2024-01-01,2829.314587156653,2662.4853315645596,2996.1438427487465,2574.1712583049734,3084.4579160083326,1
Virginia,2024-02-01,3067.2309965036548,2867.3517205833436,3267.110272423966,2761.542023392943,3372.9199696143664,1
Virginia,2024-03-01,3381.34967532,3168.674954052786,3594.0243965872146,3056.0917572519907,3706.6075933880097,1
Virginia,2024-04-01,3361.6445502540605,3143.631356847218,3579.657743660903,3028.2221436024834,3695.0669569056377,1
Virginia,2024-05-01,3328.530607387547,3108.2326538540037,3548.8285609210907,2991.613961657308,3665.447253117786,1
Virginia,2024-06-01,3257.3076884103416,3036.0219699972854,3478.593406823398,2918.880386658848,3595.7349901618354,1
Virginia,2024-07-01,3129.717396839732,2908.0028278093914,3351.4319658700724,2790.6342246673958,3468.800569012068,1
Virginia,2024-08-01,2990.116128839346,2768.2150306928656,3212.0172269858263,2650.747685001373,3329.4845726773187,1
Virginia,2024-09-01,2813.375522488999,2591.3932295692493,3035.357815408749,2473.8829019611294,3152.868143016869,1
Virginia,2024-10-01,2734.778872589123,2512.76122412599,2956.7965210522557,2395.232180423757,3074.3255647544884,1
Virginia,2024-11-01,2766.7313978637667,2544.698351860809,2988.7644438667244,2427.161157193356,3106.3016385341775,1
Virginia,2024-12-01,2880.9400807975903,2658.9003286459333,3102.9798329492473,2541.3595839577993,3220.5205776373814,1
